Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
13500,    0.135000,   99.910630,   -1.323898,513016.10212060,   458.85716209,513474.95928269,   0.0339894193
13600,    0.136000,   99.909301,   -1.333704,513009.27880760,   465.68022332,513474.95903091,   0.0342411927
13700,    0.137000,   99.907963,   -1.343511,513002.40513990,   472.55363924,513474.95877914,   0.0344929661
13800,    0.138000,   99.906614,   -1.353318,512995.48111750,   479.47740986,513474.95852737,   0.0347447395
13900,    0.139000,   99.905256,   -1.363124,512988.50674041,   486.45153518,513474.95827559,   0.0349965132
14000,    0.140000,   99.903888,   -1.372931,512981.48200863,   493.47601519,513474.95802382,   0.0352482866
14100,    0.141000,   99.902510,   -1.382738,512974.40692215,   500.55084990,513474.95777205,   0.0355000600
14200,    0.142000,   99.901122,   -1.392544,512967.28148097,   507.67603930,513474.95752027,   0.0357518335
14300,    0.143000,   99.899725,   -1.402351,512960.10568510,   514.85158340,513474.95726850,   0.0360036070
14400,    0.144000,   99.898318,   -1.412158,512952.87953453,   522.07748219,513474.95701673,   0.0362553804
14500,    0.145000,   99.896900,   -1.421964,512945.60302927,   529.35373568,513474.95676495,   0.0365071538
14600,    0.146000,   99.895474,   -1.431771,512938.27616931,   536.68034387,513474.95651318,   0.0367589275
14700,    0.147000,   99.894037,   -1.441578,512930.89895466,   544.05730675,513474.95626140,   0.0370107008
14800,    0.148000,   99.892590,   -1.451384,512923.47138531,   551.48462432,513474.95600963,   0.0372624743
14900,    0.149000,   99.891134,   -1.461191,512915.99346126,   558.96229660,513474.95575786,   0.0375142478
15000,    0.150000,   99.889668,   -1.470998,512908.46518252,   566.49032356,513474.95550608,   0.0377660212
15100,    0.151000,   99.888192,   -1.480804,512900.88654909,   574.06870522,513474.95525431,   0.0380177947
15200,    0.152000,   99.886706,   -1.490611,512893.25756096,   581.69744158,513474.95500254,   0.0382695682
15300,    0.153000,   99.885211,   -1.500417,512885.57821813,   589.37653263,513474.95475076,   0.0385213418
15400,    0.154000,   99.883705,   -1.510224,512877.84852061,   597.10597838,513474.95449899,   0.0387731151
15500,    0.155000,   99.882190,   -1.520031,512870.06846839,   604.88577883,513474.95424722,   0.0390248886
15600,    0.156000,   99.880665,   -1.529837,512862.23806148,   612.71593396,513474.95399544,   0.0392766620
15700,    0.157000,   99.879130,   -1.539644,512854.35729987,   620.59644380,513474.95374367,   0.0395284356
15800,    0.158000,   99.877586,   -1.549451,512846.42618357,   628.52730833,513474.95349190,   0.0397802089
15900,    0.159000,   99.876031,   -1.559257,512838.44471257,   636.50852755,513474.95324012,   0.0400319825
16000,    0.160000,   99.874467,   -1.569064,512830.41288687,   644.54010148,513474.95298835,   0.0402837559
16100,    0.161000,   99.872893,   -1.578871,512822.33070649,   652.62203009,513474.95273658,   0.0405355293
16200,    0.162000,   99.871309,   -1.588677,512814.19817140,   660.75431340,513474.95248480,   0.0407873028
